Entity_Orth,Entity_Label,Parts_of_Speech
Indian School,ORG,JJ NNP
Last year,DATE,JJ NN
"the year just ending, while",DATE,"DT NN RB VBG , IN"
the Blanket Industry,ORG,DT NNP NNP
1925,DATE,CD
a few years ago,DATE,DT JJ NNS RB
Farmer,ORG,NNP
the year,DATE,SP DT NN
Indians,NORP,NNPS
Indians,NORP,NNPS
fiscal year,DATE,JJ NN
Females I. Total,PERSON,NNS NNP NNP
fiscal year,DATE,JJ NN
"V'yjA'fin)!fiwfigflafigfi'ifi3:1.""31p}{5135Tflfifiw'fl'fflgflgfimfiwgT)fiay'zgpjfi'p;n:nv",LOC,NNP
San Juan Agency,ORG,NNP NNP NNP
Navajo,NORP,JJ
Wool,PERSON,NNP
Navajo,NORP,NNP
Navajos,NORP,NNPS
Navajo,NORP,NNP
Bob Bekiss,PERSON,SP NNP NNP
1924,DATE,CD
The Bureau of Animal Industry,ORG,DT NNP IN NNP NNP
Indians,NORP,NNPS
a few years ago,DATE,DT JJ NNS IN
Indians,NORP,NNPS
San Juan,GPE,NNP NNP
Indian School,ORG,JJ NNP
San Juan Reservation,GPE,NNP NNP NNP
Noncontract boarding-—,PERSON,NNP NNP
Nonreservation,GPE,NNP
fiscal year,DATE,JJ NN
Anderson,PERSON,NNP
Lois Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Nora "" '"" "" ""
Duncan",PERSON,NNP `` '' '' '' '' SP NNP
Deneteue,PERSON,NNP
Amadore,PERSON,NNP
Jackson,PERSON,NNP
"Mary Louise """,PERSON,NNP NNP ''
Janis,PERSON,NNP
Jane,PERSON,NNP
Miller,WORK_OF_ART,SP NNP
Sannah,PERSON,NNP
Cahe,PERSON,NNP
Sebah,PERSON,NNP
"Helen "" "" """,PERSON,NNP `` '' ''
Tawk,PERSON,NNP
Dorothy,PERSON,NNP
Tilcheew Emma,WORK_OF_ART,SP NNP NNP
Usohin,GPE,NNP
Opal,GPE,NNP
Uschin,GPE,NNP
"Bessie "" "" ""
Woods",PERSON,NNP `` '' '' SP NNP
Irene,PERSON,NNP
Yanapah,PERSON,NNP
UlthneZ,PERSON,NNP
Apache Indian School,ORG,NNP NNP NNP
Asa Navajo,PERSON,NNP NNP
San Juan,GPE,NNP NNP
"Benjamin "" n",PERSON,NNP `` LS
Benally,PERSON,NNP
"Barnard "" Iv",PERSON,NNP `` NNP
Benally,PERSON,NNP
Walter,PERSON,NNP
"Jim """,PERSON,NNP ''
Leonard,PERSON,NNP
"Scott """,PERSON,NNP ``
"Dan "" II",PERSON,NNP `` NNP
Burbank,GPE,NNP
"Clifford """,PERSON,NNP ``
Burbank,GPE,NNP
Clah,ORG,NNP
"John "" n n",PERSON,NNP `` CC XX
Deschene,GPE,NNP
Garfield,GPE,NNP
Diewood,PERSON,NNP
Woody,PERSON,NNP
Eske,PERSON,NNP
Byron,PERSON,NNP
Donald,PERSON,NNP
