Santa Fe Hardware & Supply,1
a. day,1
Santa Domingo,4
Jan. .9th,1
U.6.Indien Industrial School,1
Jose Noni,1
Puebiee,1
July 30, 1906,1
5w'mh'aiew,1
Sept. 8, 1905,1
the India Office,1
Clara D. Trus,1
Sept. 1th,1
2711,1
Sheet,1
U.S.Indien Industrial School,3
Buffalo N. Y.,1
Jenea,1
July 29, 1905,1
Hester,1
Jenez,2
Mela,1
Ghana,1
San Juan Pueblo,2
Round Rubber Piston Packing,1
H. Johnson,1
Aug. 19, 1905,1
Ann 22,1
K. Allen hoe ohlrfl',1
U.8.Ind1an Industriul School,1
Defiance,11
a few days,3
Rumsey & Sikeneter Co.,1
South Gaul,1
MN I. t.,1
N. H.
Sir:—,1
Tomas LuJan,1
H. M.
Deer Allen:-,1
N. am,1
Juntee,1
Jim am/,1
Ktng,1
216666,1
Pearl Evans,1
Charles H.86ar1n3,1
Chilecoo,1
1'1'»,1
June 2%.1905,1
Luis time,1
Bonk R. I. 1..,1
Ian-y,1
7' 7-,1
Granville Pendleten,1
Sun In,1
Indian Wurohmo,1
MMMMLL Jamar,1
P.Dunn Shoe & Leath-,1
Jan. 37, 1905,1
Ibttie,1
Sept. 1,1
New M,1
the Governmnnt Inks,1
Lsttsrs Iscsivsd Iron %,1
Stnta F0,1
Perk,1
10 6082-2262,1
Ateittie,1
Buporintond mt,1
Elgar L. Hewett,1
30 6882-2100-4782,1
N. M.
Sir;~,1
Jumez,1
Ruth,1
Wirtt,1
Isomethglng,1
Indisns,1
Indiuna,1
:'-,--:to Domingo,1
Tuceon,1
N. Mo,3
Sandoval,1
Ropr C. Spooucr,1
Ely 30th,1
Ruth 1,1
wcfi.lndian Industrial School,1
the Rtvor Cominimo,1
N. M.

81r;-,1
H. S. Murphy,1
C. V. Goodman,1
Imam Mo,1
Dec. 5th,1
Govt «a,1
Louis Rios,1
Childers,1
Santa F°'3'M',1
Lia-"10,1011,1
December 31,1904,1
N. M;,1
I. 031109,1
Letters Received 21 the Office
25 Indien AffeireI 1824-,1
Julian,1
_,,.»t,1
N. M.,57
Juan Jose Pena,1
Abltnot,1
